ID,Response,Predict_Response
8996,N,N
1994,N,N
3769,N,N
5255,N,N
8268,N,N
10629,N,N
10475,N,N
9235,N,N
4345,N,N
7187,N,N
8720,N,N
8557,N,N
2863,N,N
2437,N,N
5250,Y,Y
7281,N,N
1612,N,N
5079,N,N
10339,N,N
5798,N,N
2902,N,N
3117,N,N
7244,N,N
1295,N,N
11492,N,N
11590,N,N
11689,N,N
11778,N,N
11806,N,N
11905,N,N
12151,N,N
12286,Y,Y
12397,N,N
12451,N,N
12456,N,N
12473,N,N
12560,N,N
12576,N,N
12732,N,N
12758,N,N
12763,N,N
13133,N,N
13231,N,N
13330,N,N
13419,N,N
13447,N,N
13546,N,N
13749,N,N
13792,N,N
13927,Y,Y
14038,N,N
14092,N,N
14097,N,N
14114,N,N
14201,N,N
14217,N,N
14373,N,N
14399,N,N
14404,N,N
14774,N,N
14872,N,N
14971,N,N
15060,N,N
15088,N,N
15187,N,N
15390,N,N
15433,N,N
15568,Y,Y
15679,N,N
15733,N,N
15738,N,N
15755,N,N
15842,N,N
15858,N,N
16014,N,N
16040,N,N
16045,N,N
16415,N,N
16513,N,N
16612,N,N
16701,N,N
16729,N,N
16828,N,N
17031,N,N
17074,N,N
17209,Y,Y
17320,N,N
17374,N,N
17379,N,N
17396,N,N
17483,N,N
17499,N,N
17655,N,N
17681,N,N
17686,N,N
18056,N,N
18154,N,N
18253,N,N
18342,N,N
18370,N,N
18469,N,N
18672,N,N
18715,N,N
18850,Y,Y
18961,N,N
19015,N,N
19020,N,N
19037,N,N
19124,N,N
19140,N,N
19296,N,N
19322,N,N
19327,N,N
19697,N,N
19795,N,N
19894,N,N
19983,N,N
20011,N,N
20110,N,N
20313,N,N
20356,N,N
20491,Y,Y
20602,N,N
20656,N,N
20661,N,N
20678,N,N
20765,N,N
20781,N,N
20937,N,N
20963,N,N
20968,N,N
21338,N,N
21436,N,N
21535,N,N
21624,N,N
21652,N,N
21751,N,N
21954,N,N
21997,N,N
22132,Y,Y
22243,N,N
22297,N,N
22302,N,N
22319,N,N
22406,N,N
22422,N,N
22578,N,N
22604,N,N
22609,N,N
22979,N,N
23077,N,N
23176,N,N
23265,N,N
23293,N,N
23392,N,N
23595,N,N
23638,N,N
23773,Y,Y
23884,N,N
23938,N,N
23943,N,N
23960,N,N
24047,N,N
24063,N,N
24219,N,N
24245,N,N
24250,N,N
24620,N,N
24718,N,N
24817,N,N
24906,N,N
24934,N,N
25033,N,N
25236,N,N
25279,N,N
25414,Y,Y
25525,N,N
25579,N,N
25584,N,N
25601,N,N
25688,N,N
25704,N,N
25860,N,N
25886,N,N
25891,N,N
26261,N,N
26359,N,N
26458,N,N
26547,N,N
26575,N,N
26674,N,N
26877,N,N
26920,N,N
27055,Y,Y
27166,N,N
27220,N,N
27225,N,N
27242,N,N
27329,N,N
27345,N,N
27501,N,N
27527,N,N
27532,N,N
27902,N,N
28000,N,N
28099,N,N
28188,N,N
28216,N,N
28315,N,N
28518,N,N
28561,N,N
28696,Y,Y
